genotype,bootstrap,c50_0_1F1,Rmax_0_1F1,c50_30_1F1,Rmax_30_1F1,c50_0_2F1,Rmax_0_2F1,c50_30_2F1,Rmax_30_2F1
DJ1aDJ1b_1dpe,0,16.50270989035811,18.888555028569833,39.35534013728282,57.57176281644682,59.861398380607376,32.91036951902946,52.65635550303945,6.864699047716449
DJ1aDJ1b_1dpe,1,8.505008544008552,22.465513235548833,27.45223564288918,33.14802305990607,68.78452397299758,71.67122508633004,63.79454010086249,8.953551317729659
DJ1aDJ1b_1dpe,2,8.758434131421208,19.792632171501307,59.93085921285998,72.15608547907122,87.37346016380002,56.28473855554695,70.25657859771454,10.45173240907037
DJ1aDJ1b_1dpe,3,10.3331573282137,18.79083529861064,54.31759184983091,79.6980954913709,72.44632494476323,37.93251880191897,58.006120723815535,8.156350792592022
DJ1aDJ1b_1dpe,4,8.932527567203802,17.588809955290593,32.32535429977817,35.51191059411521,61.212699334692616,40.74529523194665,64.11400112283505,7.6640166430550325
DJ1aDJ1b_1dpe,5,9.347110611709892,19.142392183776575,43.72699128545169,55.180131750535146,77.47654974353206,59.68018158576973,45.00770226193474,6.0936455118325545
DJ1aDJ1b_1dpe,6,17.50873013610361,18.3811911724897,37.751480558025655,52.320772454470706,79.55806684127273,68.06495782763659,53.04504318509845,7.4421578512919995
DJ1aDJ1b_1dpe,7,12.85918173007639,20.96464193430058,32.65600984206197,32.36378494529121,90.59616978728842,68.61745847697573,53.3202227883743,9.537871498373303
DJ1aDJ1b_1dpe,8,12.73777549311466,18.141457625592203,45.332631782124224,56.053059076963336,61.9599525847857,47.21495367424255,55.816914524817776,11.75749105625999
DJ1aDJ1b_1dpe,9,11.386237815975358,16.953346897628094,47.157898335928145,58.42059965828533,80.46683151063841,53.329639390041905,55.48101354689212,9.474115975549122
DJ1aDJ1b_7dpe,0,24.88254902422391,18.893208845367788,47.53486448825653,36.42124450273642,77.35340297751546,30.660584537382086,60.313940994384936,11.711279446637485
DJ1aDJ1b_7dpe,1,13.662901670845812,19.24420238878605,26.62151393429348,22.499667747060073,72.70967972197226,27.981909137592446,75.48812262075488,10.407190005955037
DJ1aDJ1b_7dpe,2,20.12605722018664,18.957756187548295,21.853955861666872,17.235756629155127,75.43891102056526,30.7695132803703,71.48986121101277,13.123150704984486
DJ1aDJ1b_7dpe,3,26.510136772046017,18.454263006046475,42.78675576882036,37.317187070570796,69.51222898965042,29.275419485066163,74.8851654969363,13.533610557088787
DJ1aDJ1b_7dpe,4,13.243515170751719,21.406806630441654,37.86553629161239,34.25833017949168,67.96510621871816,32.25224446045226,64.98355099357582,13.017513107818115
DJ1aDJ1b_7dpe,5,28.5765552587088,22.420429108902063,43.70104127499923,26.58425404529787,53.28759341452495,19.552388732399496,66.11829778864943,10.026153566678198
DJ1aDJ1b_7dpe,6,15.050987451844577,19.821242679087852,54.51853982291506,40.386097568304805,72.50891258412034,42.09564210045039,69.03496742214705,12.148868013183776
DJ1aDJ1b_7dpe,7,22.241180376419184,24.151530711562124,46.94878818383231,35.259558691676126,65.20444301464242,28.724150182262576,56.70877193581562,11.220462762864369
DJ1aDJ1b_7dpe,8,25.067363680550987,22.569220269161143,48.707998075596414,29.421827083385445,56.61692389294768,20.059014573536604,56.8519441820189,11.820278114600422
DJ1aDJ1b_7dpe,9,13.331620689028219,21.494907798491447,53.790900408144594,43.72701113846087,63.128951100831216,27.456623407326028,68.29719124286271,12.475233112644748
