genotype,n_files,parameter,harmonic,mask,min_value,lower_bound,mean,upper_bound,max_value
DJ1aDJ1b_1dpe,10,c50,1F1,0,6.138416206913997,7.364993521503029,11.716024736429913,22.54372587993354,38.20884820301624
DJ1aDJ1b_1dpe,10,Rmax,1F1,0,13.97544839639473,15.501215887184985,18.547450217270182,22.364644170055463,25.11620885274235
DJ1aDJ1b_1dpe,10,c50,1F1,30,14.026077969032784,24.623301730561202,40.72716076764865,56.70725434506759,67.34695763630856
DJ1aDJ1b_1dpe,10,Rmax,1F1,30,17.04588862306594,27.299347278111995,53.06786853369408,78.95341163480198,98.39043432626399
DJ1aDJ1b_1dpe,10,c50,2F1,0,38.92841476902486,54.395110563235086,77.8221917511235,101.70381424862985,120.2516791798441
DJ1aDJ1b_1dpe,10,Rmax,2F1,0,21.2283916688507,31.41705638421224,59.46974707866434,86.57417337058706,111.00261760915866
DJ1aDJ1b_1dpe,10,c50,2F1,30,35.70961922992676,49.35294437942776,64.35265158793167,75.75058635625912,77.03432752515081
DJ1aDJ1b_1dpe,10,Rmax,2F1,30,3.4089034493247077,6.238824017893977,9.965281698017524,14.078207103911575,16.53428442071867
DJ1aDJ1b_7dpe,10,c50,1F1,0,8.561539377692649,11.050565283179935,21.13324440048797,36.201521534340166,48.80635410768181
DJ1aDJ1b_7dpe,10,Rmax,1F1,0,16.476418004849048,17.728832797141425,21.41423987112651,25.25001140120413,27.61935772440912
DJ1aDJ1b_7dpe,10,c50,1F1,30,17.96572483084998,28.830388103157368,45.2746803493606,61.48117488246447,67.92403307271914
DJ1aDJ1b_7dpe,10,Rmax,1F1,30,12.349920460161062,19.05672072913982,34.735212361836936,51.00775049665449,59.278598179974026
DJ1aDJ1b_7dpe,10,c50,2F1,0,24.698721360293586,40.52718924713554,67.48645275207583,97.34718623647295,112.63461847231318
DJ1aDJ1b_7dpe,10,Rmax,2F1,0,6.330723013573257,15.044565727901356,29.527084407337043,45.63582458623639,56.62790604885301
DJ1aDJ1b_7dpe,10,c50,2F1,30,44.30398862114045,50.34542844801937,64.03242440083702,74.5964411285625,77.06116975936169
DJ1aDJ1b_7dpe,10,Rmax,2F1,30,4.080193047024496,6.891753701591754,11.75007789529114,17.167352401978285,20.590429345022862
DJ1aDJ1b_21dpe,10,c50,1F1,0,8.850763839448383,11.306550685183012,31.48200832475078,58.1992489546906,87.9377486697114
DJ1aDJ1b_21dpe,10,Rmax,1F1,0,14.62070032771486,17.156476744297862,32.36283270443206,57.63940661821709,82.822091143097
DJ1aDJ1b_21dpe,10,c50,1F1,30,6.766967029905141,21.12052217619542,39.564070138463286,57.09653508094062,65.61196777378774
DJ1aDJ1b_21dpe,10,Rmax,1F1,30,12.308562182898132,30.097878066668827,54.30379179488286,80.53609545561096,96.172716473036
DJ1aDJ1b_21dpe,10,c50,2F1,0,45.15968681928715,61.182312499074,85.9191516331446,112.10732222983036,127.33707487127924
DJ1aDJ1b_21dpe,10,Rmax,2F1,0,21.184813502890336,45.5865794802242,78.41207981431394,112.3109593394251,129.63859166823258
DJ1aDJ1b_21dpe,10,c50,2F1,30,51.26942540719987,57.53557893935879,69.37375974568532,76.54008120174174,77.37987007004571
DJ1aDJ1b_21dpe,10,Rmax,2F1,30,3.621952051377722,6.057713460595218,10.283257777787313,15.01309441643818,17.755781801510842
DJ1aDJ1b_28dpe,10,c50,1F1,0,7.132919459945873,9.011817212526845,20.891881582233655,38.614981986398625,52.591514951132766
DJ1aDJ1b_28dpe,10,Rmax,1F1,0,14.149276606259864,16.239751946050987,19.87509585410179,23.96139736486842,26.22895813466527
DJ1aDJ1b_28dpe,10,c50,1F1,30,14.647652516119877,23.846860148913557,41.31379284038016,58.941090838217406,76.21630260779983
DJ1aDJ1b_28dpe,10,Rmax,1F1,30,11.785182046568888,21.043527082802914,40.643443863541684,63.1140485145359,93.96865378856722
DJ1aDJ1b_28dpe,10,c50,2F1,0,30.895616430888435,46.38264689555952,74.45631307117408,103.76937583610948,122.07453922595809
DJ1aDJ1b_28dpe,10,Rmax,2F1,0,13.769816003378935,21.948114895531116,42.540809260870766,70.39732817375916,82.12610162476572
DJ1aDJ1b_28dpe,10,c50,2F1,30,41.438358812430565,52.488589690426956,65.14607576475935,75.6111322265038,77.00211413081226
DJ1aDJ1b_28dpe,10,Rmax,2F1,30,4.045810365060302,6.6543061186525465,10.21840059222199,14.355462904934647,16.372044956615817
